"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"FulfillmentWorkspaceItem","Fulfillment Workspace Item","Id","Fulfillment Workspace Item ID","id",18,false,"[]",,false,false,,"[]",false
"FulfillmentWorkspaceItem","Fulfillment Workspace Item","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"FulfillmentWorkspaceItem","Fulfillment Workspace Item","Name","Name","string",255,false,"[]",,false,false,,"[]",false
"FulfillmentWorkspaceItem","Fulfillment Workspace Item","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"FulfillmentWorkspaceItem","Fulfillment Workspace Item","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"FulfillmentWorkspaceItem","Fulfillment Workspace Item","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"FulfillmentWorkspaceItem","Fulfillment Workspace Item","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"FulfillmentWorkspaceItem","Fulfillment Workspace Item","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"FulfillmentWorkspaceItem","Fulfillment Workspace Item","FulfillmentWorkspaceId","Fulfillment Workspace ID","reference",18,false,"[""FulfillmentWorkspace""]","FulfillmentWorkspace",false,false,,"[]",false
"FulfillmentWorkspaceItem","Fulfillment Workspace Item","FulfillmentStepDefinitionGroupId","Fulfillment Step Definition Group ID","reference",18,false,"[""FulfillmentStepDefinitionGroup""]","FulfillmentStepDefinitionGroup",false,false,,"[]",false
"FulfillmentWorkspaceItem","Fulfillment Workspace Item","ShowOrder","Show Order","int",0,true,"[]",,false,true,,"[]",false
