Id,Name,Pricebook2Id,Product2Id,UnitPrice,IsActive,UseStandardPrice,ProductCode,IsDeleted,IsArchived,ProductSellingModelId,IsDerived
01ubZ000002txfvQAA,Giga Hub,01sau000000bB9NAAU,01tbZ000005ZFCbQAO,0,true,false,O_GIGA_HUB,false,false,0jPbZ00000000rFUAQ,false
01ubZ000002txfuQAA,Modem,01sau000000bB9NAAU,01tbZ000005ZFCcQAO,0,true,false,O_MODEM,false,false,0jPbZ00000000rFUAQ,false
01ubZ000002txftQAA,Installation,01sau000000bB9NAAU,01tbZ000005ZFCdQAO,150,true,false,O_INSTALLATION,false,false,0jPbZ00000000rFUAQ,false
01ubZ000002txfrQAA,Gigabit Fibe 1.0,01sau000000bB9NAAU,01tbZ000005ZFCeQAO,138,true,false,O_FIBE_GIGABIT_1_0,false,false,0jPbZ00000000rGUAQ,false
01ubZ000002txfsQAA,Gigabit Fibe 1.5,01sau000000bB9NAAU,01tbZ000005ZFCfQAO,148,true,false,O_FIBE_GIGABIT_1_5,false,false,0jPbZ00000000rGUAQ,false
01ubZ000002txfqQAA,Fibe 500,01sau000000bB9NAAU,01tbZ000005ZFCgQAO,128,true,false,O_FIBE_500,false,false,0jPbZ00000000rGUAQ,false
01ubZ000002txfpQAA,Fibe 150,01sau000000bB9NAAU,01tbZ000005ZFChQAO,118,true,false,O_FIBE_150,false,false,0jPbZ00000000rGUAQ,false
